query,report,institute,category,label
tawuran,"kepada yang terhormat . pemerintah provinsi dki jakarta . dengan hormat . saya dari warga rt.003 rw.010 kelurahan . cipinang besar utara kecamatan . jatinegara jakarta timur , saya ingin melaporkan tawuran antar warga yang sering terjadi di wilayah kelurahan . cipinang besar utara kecamatan . jatinegara jakarta timur . sudah 1 bulan ini sudah terjadi 6 kali tawuran antara warga cipinang pulo maja dan warga cipinang pulo wetan . warga dari cipinang pulo wetan sering sekali merusak rumah warga dan warung warga setiap tawuran . tujuan dari warga cipinang pulo wetan merusak rumah warga dan warung warga karena ingin menjarah harta benda kami . saya berharap ada solusi yang ampuh untuk masalah tawuran ini agar mereka yang terlibat tawuran menjadi jera dan tidak melakukan tawuran lagi . karena sampai saat ini tidak ada solusi sama sekali . terima kasih",Pemprov DKI 2,  Harga,Crime
tawuran,"sering ada tawuran anak2 di malam hari , di dekat grandlucky radio dalam . hampir tiap minggu ada tawuran . tolong di pantau , supaya tidak ada pengguna jalan atau masyarakat yang terluka .",Kepolisian Negara Republik Indonesia,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"assalamualaikum wr wbdengan hormat saya kembali melapor kepada pemerintah kota padang , terkhusus satuan keamanan , bahwasanya di daerah purus tepi bandar bakali , anak-anak yang ntah dari mana asalnya mulai merusuh , mereka ngelem , tawuran , mengganggu keamanan dan kenyamanan masyarakat disini lebih tepatnya rw 07.saya mohon sekali lagi tolong dikondisikan , tolong di proses , kalau bisa diberi hukuman , karena kalau misalnya bahkan warga disini yang mengkondisikan takutnya bahkan lebih besar lagi perkaranya karena orang tua anak-anak tersebut kalau anak nya di peringatkan orangtuanya bahkan ngebela anaknya yang sudah jelas salah dan malahan ajak bertarung kepada yang memarahi anaknya.lokasi berkumpulnya anak-anak tersebut lebih tepatnya sekarang di bawah jembatan hijau veteran.sekali lagi saya minta tolong.terimakasih .",Satuan Polisi Pamong Praja Kota Padang,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,telah terjadi tawuran massal antar perguruan silat antar perguruan menimbulkan keresahan dan ketakutan masyarakat sebab merusak pemukiman masyarakat dan sarana umum,Kecamatan Kampak,  Dampak Lingkungan,Crime
tawuran,mohon bantuannya pak polisi wilayah tanjung priok jakarta utara.. daerah tempat pemukiman saya di warakas gang 21 sudah 2 malam belakangan ini sering terjadi tawuran.. tawuran sudah menggunakan senjata tajam dan bom molotov.. rumah saya sudah terkena sasarannya.. salah satu rolling door saya tersabet senjata tajam .,Kepolisian Negara Republik Indonesia,  Kepolisian,Crime
tawuran,"halomasjekek jadi begini , beberapa hari yang lalu terjadi tawuran antar 2 perguruan bela diri di daerah slogohimo yang meresahkan banyak warga . saya merasa terganggu dengan kejadian ini dan aktivitas sehari hari terganggu . melihat peristiwa seperti itu yang mana bukan baru kali pertama terjadi sebaiknya segera diberikan ketegasan kepada perguruan bela diri tersebut atau mungkin seluruh perguruan bela diri di wilayah wonogiri agar peristiwa semacam itu tidak terjadi lagi .",Kantor Kesatuan Bangsa dan Politik Kabupaten Wonogiri,  Ketertiban Umum,Crime
tawuran,ada tawuran anak sekolah di ketapang . belakang mall gajah mada . buruan . soalnya mereka bawa sajam . takut ada yang terluka . terima kasih,Kepolisian Negara Republik Indonesia,  Lain-lain,Crime
tawuran,"lapor hendy asalamualaikum salam sejahtera , saya ingin melaporkan tentang keresahan warga wonodri kebondalem ( kel.wonodri kecamatan semarang selatan ) karena tiap jam pulang sekolah banyak siswa dari smk 3 yang terletak di jalan admodirono nongkrong dengan jumlah banyak dan merokok di depan gang jalan wonodri kebondalem / jalan singosari timur yang menyebabkan contoh tidak baik untuk anak sekolah lainnya dan bagi anak-anak di lingkungan kami dan kadang terjadi persilisihan dengan kelompok sekolah lain karena mereka nongkrong secara bergerombol yang menyebabkan tawuran , mohon untuk bapak walikota bisa meluruskan masalah ini kepada dinas terkait karena kami sebagai warga sdh pernah melaporkan tindakan ini ke sekolah stm3 dan pihak babinsa tapi iya masih terjadi lagi masalah",Pemerintah Provinsi Jawa Tengah,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"untuk wilayah jagakarsa , jalan . muh.kahfi 1. sering terjadi tawuran anak abg . tepatnya jlan skitaran tpu kampung kandang . biasanya antara pukul 1 - 4 pagi . sebagian bahkan berani melakukan pemalakan warung pinggir jalan . mohon sering dilakukan patroli . dan bocah-bocah tersebut ditertibkan . karena sangat meresahkan .",Kepolisian Negara Republik Indonesia,  Kepolisian,Crime
tawuran,"jalan babarsari dan jalan baladewa sering digunakan sebagai arena balap liar pada malam hari sampai subuh . biasanya hari jumat , sabtu dan pada hari libur . lokasinya jalan babarsari , desa caturtunggal , kecamatan . depok , kabupaten . sleman , yogyakarta . di jalan baladewa juga terdapat sebuah pub yang membuat orang-orang mabuk dan sering tawuran di sekitar jalan baladewa . mohon ditertibkan .",Kepolisian Negara Republik Indonesia,  Kepolisian,Crime
tawuran,"kelurahan sawangan kota depok , saya selaku warga setempat ( dekat gerbang hijau disamping polsubsektor sawangan ) memohon diperketatnya keamanan di malam hari , dikarenakan belakangan ini sering terjadi penggunaan serta tawuran petasan antar anak-anak .",Kepolisian Negara Republik Indonesia,  Kepolisian,Crime
tawuran,"tolong tertibkan anak-anak liar yang setiap malam nongkrong di jalan pekojan 2 no.5a , rt.08 , dekat pos pertahanan sipil rw.06 tambora , jakarta barat , . sering ribut sampai larut malam , bikin masalah keamanan & ketertiban , mengganggu pengguna jalan .",Kepolisian Negara Republik Indonesia,  Topik Lainnya,Crime
tawuran,"kepada yang terhormat . pemerintah provinsi dki jakarta . saya ingin mengajukan keluhan tentang gangguan kenyamanan lingkungan daerah kemayoran , utan panjang 3 , yang lebih dikenal dengan daerah jiung , gang dan tepatnya di rt/rw : 02/03 . hampir setiap malam , mulai dari jam 20.00 daerah tersebut dijadikan tempat kumpul2 atau nongkrong anak muda umur antara 15 an hingga 20 an tahun . sangat gaduh dan begitu berisik . aktifitas mereka hingga pukul 2 atau 3 dini hari . dan sering sekali diikuti dengan mabuk-mabukan dan tidak jarang berakhir dengan tawuran . sepertinya tidak ada respon sama sekali dari pihak rt dan rw setempat . padahal tempat kumpul-kumpul mereka tidak jauh dari kantor rw 03 yang hanya berjarak 10 meter . mohon bantuan dari pihak terkait agar kenyamanan warga sekitar tidak terampas oleh kegiatan negatif para anak muda ini . mohon dinas terkait untuk menindaklanjutinya . terima kasih .",Kantor Walikota Jakarta Pusat,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"di daerah rumah saya tepatnya jalan . jatibunder 5 rt12/rw09 ( rumah susun jatibunder ) di bulan puasa ini banyak anak2 dan remaja yang bermain pesatan mulai dari jam 8 hingga saur , ini dapat mengganggu masyarakat yang ingin beristrirahat & pedagang . tidak hanya bermain petasan tetapi membuah kegaduhan saat membangunkan sahur . hampir setiap bulan ramadhan selalu ada tawuran yang saya takutkan terulang kembali di bulan ramadhan ini . mohon untuk di tindak lanjuti segera .",Kepolisian Negara Republik Indonesia,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,di hendrarprihadi terjadi kerusuhan tawuran telah meresahkan warga di sekitar smkn 10 semarang . kecamatan semarang utara . mohon ... # laporhendi,Kantor Satuan Polisi Pamong Praja Kota Semarang,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,kepada yang terhormat . pemerintah provinsi dki jakarta . di wilayah jalan karang anyar raya rw 01 dan rw 02 kelurahan karang anyar kecamatan sawah besar jakarta pusat sering terjadi tawuran antar remaja tengah malam akibat minuman keras tolong tindak lanjuti karena menganggu ketertiban umum dan meresahkan masyarakat banyak jangan di biarkan permasalahan ini terima kasih,Satuan Polisi Pamong Praja Provinsi DKI Jakarta,  Lingkungan Hidup,Crime
tawuran,"kepada , yang terhormat . pemerintah provinsi dki jakarta . setiap malam banyak anak remaja yang berkumpul dan membuat kegaduhan . sudah ditegur dan dilaporkan ke rt setempat tetapi tidak ada hasil . jika hal tersebut terus terjadi di khawatirkan menimbulkan efek buruk seperti tawuran . mohon bantuan dan solusinya . lokasi jalan . kemang utara xi rt 006/rw 04 ( gang kober ) kelurahan bangka jakarta selatan . terima kasih .",Kantor Walikota Jakarta Selatan,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"kepada yang terhormat pemerintah provinsi dki jakarta kebisingan terjadi dikawasan seputar masjid al ikhlas jatipadang , anak-anak sudah semakin anarkis alih-alih ikut solat jamaah bahkan bercanda dan tawuran ... .ditambah banyak anak-anak dibawah umur yang merokok dan membuka video porno mohon segera ditindaklanjuti . terima kasih",Kantor Walikota Jakarta Utara,  Lingkungan Hidup,Crime
tawuran,"kepada , yang terhormat . pemerintah provinsi dki jakarta , setiap malam dan dini hari sering terjadi tawuran warga di jatinegara barat jakarta timur , tetapi aksi kepolisian setempat agak lambat dalam menangani tawuran tersebut padahal tkp tepat berada di belakang polres matraman jakarta timur . terima kasih atas perhatiannya .",Kantor Walikota Jakarta Timur,  Keamanan dan Ketertiban Masyarakat,Crime
tawuran,"kepada yang terhormat . pemerintah provinsi dki jakarta . saya warga jalan kramat pulo gundul ii , rt.3/9 , nomor k38a , melaporkan telah terjadi kembali tawuran antar warga di jalan tersebut diatas pada hari kamis subuh 26 mei dan jumat malam 27 mei . tawuran ini sudah yang kesekian kalinya , kami sebagai warga merasa takut dan khawatir dengan kondisi ini , minta tolong warga kampung jawa dan kampung masjid di tertibkan . saya berharap mereka bisa dipindahkan ke rumah susun karena mereka menempati tanah garapan . mohon untuk ditindaklanjuti , terima kasih .",Kantor Walikota Jakarta Pusat,  Lingkungan Hidup,Crime
tawuran,"kepada yang terhormat . pemerintah provinsi dki jakarta . menjelang bulan ramadhan sering terjadi tawuran di wilayah kelurahan kampung rawa , kecamatan johar baru , mohon diperhatikan pihak keamanan dan pemerintah daerah dki . terima kasih .",Kantor Walikota Jakarta Pusat,  Lingkungan Hidup,Crime
tawuran,"tawuran pelajar didaerah depok , jawa barat kepada yang terhormat : bapak ibu pihak terkait bersama ini kami ingin melaporkan tentang sekolah menengah kejuruan didaerah depok tepat nya di jalan raya pitara dan nama sekolah tersebut adalah smk arjuna , kami selaku warga didaerah sini seringkali melihat tawuran antara pelajar sekolah tersebut dengan pelajar dari sekolah lainnya , sampai ada yang meninggal dikarenakan para pelajar tersebut membawa senjata tajam , seperti samurai yang panjang2 , gir dan sajam lainnya.alangkah mirisnya melihat para pelajar tersebut yang seharusnya belajar tetapi berperilaku seperti jagoan , menurut pelajar2 tsn mereka sudah diakarkan dengan dendam dikarenakan banyak para alumnus sekolah tersebut yang pengangguran yang masih nongkrong , dan memprovokasi.tolong bantuan darai pihak terkait untuk dapat memperhatikan hal ini agar tidak ada lagi korban sia2 yang melayang , kalau bisa sekolah nya ditutup atau lbh diseleksi lagi agar bisa menciptakan generasi yang lbh baik bagi bangsa dan negara ini.krn sekolah ini saja lokasinya bukan ditengah kota tetapi masih didaerah yang agak jauh dari keramaian.atas perhatiannya kami ucapkan terima kasih .","Dinas Pendidikan, Pemerintah Provinsi Jawa Barat",  Pendidikan,Crime
tawuran,"yang terhormat . kepolisian republik indonesia dengan ini saya mengadukan keresahan warga atas permasalahan yang sudah dialami sejak lebih dari 20 tahun lalu yaitu tawuran antar warga di kampung rawa sawah , cempaka putih , jakarta pusat . tindak kekerasan yang turun temurun mengakibatkan tawuran ini terus menerus terjadi di kawasan ini . hingga terakhir tadi sore terjadi tawuran yang berlangsung kurang lebih 2 jam dan menggunakan petasan , kaca , batu , dan sebagainya . dengan adanya tawuran pihak kepolisian setempat memang sudah melakukan tindakan peleraian dengan memberikan gas air mata untuk membubarkan massa dan mungkin sudah ada beberapa tindakan dalam usaha mencari titik permasalahannya . seringkali memang permasalahannya hanyalah hal-hal sepele baik adu perkataan maupun masalah perempuan . namun dinilai hal itu saja tidak cukup berhasil karena semenjak saya kecil tinggal di tempat tersebut hingga saat ini namun tawuran masih seringkali terjadi dan merugikan masyarakat setempat . dengan tidak adanya tindakan tegas dari pemerintah nantinya akan mengakibatkan generasi-generasi masa depan akan penuh dengan kekerasan . maka dari itu hal ini harus segera diberantas . beberapa pemikiran sederhana saya ialah mungkin ada baiknya daerah cempaka putih terutama kampung rawa sawah dapat direlokasikan untuk daerah yang tergolong semrawut sehingga bisa memisahkan kelompok-kelompok masyarakat yang biasa melakukan tawuran . dan tidak lupa memang dapat dilihat kebanyakan orang-orang yang tawuran baik bapak-bapak atau anak muda dan sudah terjerumus minuman keras dan obat-obatan juga . kiranya permasalahan yang sudah berlarut-larut ini dapat segera diselesaikan demi membangun generasi muda nantinya yang dapat berguna bagi bangsa . mohon ditindaklanjuti , terima kasih .",Kepolisian Negara Republik Indonesia,  Kepolisian,Crime
tawuran,"yang terhormat . pemprov.dki jakarta . mohon bantuannya untuk membubarkan massa yang berkumpul di jalan . j buntu kelurahan . kebon baru , kecamatan . tebet rw 012 setiap pukul 1 . 45 pagi . massa ini berpotensi tawurran karena terdiri dari anak kecil hingga dewasa dan sangat meresahkan warga sekitar . mohon di tindaklanjuti . terima kasih",Kantor Walikota Jakarta Selatan,  Topik Khusus,Crime
tawuran,"yang terhormat . kepolisian ri , saya melaporkan banyak anak-anak remaja yang berkumpul membuat keributan dengan suara yang keras , bermain tawur-tawuran dengan menggunakan bambu dan mengotori dengan sampah . mereka berkumpul setiap hari dari jam 8-10 bahkan pernah sampai jam 12 malam di perumahan jalan . kacang polong 2 bojong indah , jakarta barat . mereka juga mengendarai motor dengan kebut-kebutan di gang tersebut dan memarkir motor dengan seenaknya sehingga mengganggu jalanan di perumahan tersebut . keamanan ( pertahanan sipil ) pernah menegur tetapi tidak dihiraukan oleh mereka . jumlah mereka bisa melebihi 15 orang terutama malam minggu mereka bisa lebih banyak lagi . kenakalan remaja ini sudah lama terjadi dan setiap hari sehingga sangat mengganggu ketenangan dan keamanan warga , terutama rumah warga tempat mereka berkumpul . saya mohon mereka ditindak tegas sehingga tidak berkumpul dan membuat keributan di depan rumah warga sampai tengah malam . terima kasih .",Kepolisian Negara Republik Indonesia,"  Bidang Politik, Hukum, dan Keamanan",Crime
tawuran,"yang terhormat . kepolisian ri . saya ingin menginfokan perihal kejadian perkelahian antar pelajar yang sering terjadi di daerah jalan . otista raya . kami mohonkan pihak keamanan dan aparat setempat dapat membuat aman area tersebut sehingga para pelajar yang pulang melalui jalan otista raya dapat berlalu dengan tenang tanpa harus takut , karena kami selaku orangtua merasa resah dan khawatir akan dampak terhadap anak-anak kami yang bersekolah , menjadi takut melalui jalan tersebut dan motivasi pergi ke sekolah menjadi beban berat karena hal tersebut . kejadian tawuran terjadi diwaktu siang kira-kira jam 14.00 hingga 15.00 pada hari sekolah . sangat besar harapan kami laporan ini dapat segera ditindaklanjuti . kami mengucapkan banyak terima kasih .",Kepolisian Daerah Metro Jakarta Raya,"  Bidang Politik, Hukum, dan Keamanan",Crime
tawuran,"yth.kepolisian republik indonesia , saya ingin melaporkan bahwa puluhan siswa smu dibelakang mall btm ( bogor trade mall ) perlintasan rel kereta api kota bogor sepertinya akan mengadakan tawuran . mohon ditindaklanjuti . terima kasih .",Kepolisian Daerah Jawa Barat,"  Bidang Politik, Hukum, dan Keamanan",Crime
tawuran,"kepada yang terhormat . pemerintah ri . saya bertempat tinggal di wilayah johar baru , jakarta pusat . di daerah ini sering sekali terjadi tawuran , entah hal apa yang menjadi pemicu utama tawuran tersebut , beredar kabar bahwa tawuran tersebut ditunggangi oleh bandar narkotika, psikotropika, dan obat terlarang . mohon untuk ditanggulangi masalah tersebut karena telah meresahkan dan merugikan masyarakat , khususnya warga johar baru . contohnya tadi sekitar jam 02.00 terjadi tawuran yang mengakibatkan 4 rumah warga terbakar . apakah pemerintah dapat menindak hal ini ? sekali saya harapkan laporan ini segera di tanggapi . terima kasih . angga ( warga johar baru )",Kepolisian Daerah Metro Jakarta Raya,"  Bidang Politik, Hukum, dan Keamanan",Crime
tawuran,"saya mau melaporkan ada tawuran warga di daerah jakarta pusat , tepat nya di jalan kampung rawa sawah , kelurahan kampung rawa , kecamatan johar baru .. tawuran ini sudah memakai bom molotov dan tombak . terima kasih",Kantor Walikota Jakarta Pusat,  Topik Lainnya,Crime
